frame,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14,x_15,y_15,x_16,y_16
0,909.2285,227.83049,919.5929,214.49341,894.5737,213.00238,921.41327,222.59097,854.8116,219.60745,933.5234,307.28085,799.5872,305.3204,944.4905,432.6135,772.3015,428.89728,911.00323,515.925,824.14526,512.1319,907.27716,518.93225,807.4702,519.1114,928.2173,694.89557,764.0537,695.09045,951.0575,863.1014,736.2287,862.58624
1,906.8207,225.20444,916.1316,212.07285,892.6857,210.8443,915.9827,222.00742,853.8902,219.69127,930.7663,307.46475,799.6049,307.3223,945.52026,431.73206,771.4852,432.0926,911.18005,511.3961,825.72894,510.9796,909.8128,516.74176,811.98,517.7062,928.13654,690.17194,766.3984,691.9236,950.3949,860.78326,736.8884,861.27875
2,910.0322,225.23016,918.4188,212.11679,896.20776,211.27808,916.43646,221.91884,857.50385,220.5206,931.7188,306.60822,802.0783,307.4794,948.54333,427.10745,770.5824,428.7779,914.29083,505.42502,822.53577,507.25644,910.1452,516.44257,813.59937,517.90295,927.6469,688.9475,767.54913,692.4299,950.5474,857.6323,736.0362,860.15753
3,908.72174,225.85497,917.3214,212.03636,893.9015,212.10342,916.79083,220.82996,854.7614,221.65594,932.15735,306.03363,801.9566,308.339,948.83716,428.95148,772.69965,430.15796,914.1306,510.0078,825.2604,509.35477,908.82043,514.967,812.0614,517.12506,926.8127,686.77765,769.5746,691.38617,952.35864,855.4979,740.02893,858.18866
4,904.73645,238.24155,913.30963,225.07031,892.2768,224.32896,914.70123,230.18692,856.96277,227.70721,929.61646,308.481,804.5232,308.67014,946.4661,425.00775,771.9201,428.5956,911.42816,510.2407,821.23834,508.7616,904.6819,514.0198,813.73315,515.61017,925.40643,680.2809,778.4612,683.6757,947.7155,851.6069,753.65814,851.30994
5,907.5526,231.83185,916.5185,218.63013,894.1932,217.45432,917.91656,226.2409,856.1519,222.59308,931.2453,309.5962,800.896,306.4107,944.02496,433.02896,768.6907,429.95856,907.4958,516.033,823.56134,509.05783,904.5447,517.3774,810.14905,517.839,926.1533,684.3098,778.07874,684.8734,945.99133,854.8752,755.2402,850.3959
6,905.8904,239.30838,912.68005,227.57869,893.78595,225.34172,915.0822,236.67673,857.08124,228.02357,928.0805,315.80203,797.13837,309.67813,945.6579,425.15756,775.3574,427.0278,929.4115,503.07,830.0382,514.2993,912.2719,525.3281,827.3592,526.5615,918.284,648.0271,845.3375,650.54297,896.4516,719.7834,864.43823,724.99115
7,910.87506,233.97697,917.3321,221.92296,898.0511,219.87314,918.67566,232.8224,859.07965,224.6142,931.20996,315.48618,797.5862,310.38986,949.1455,425.9609,776.41595,430.99167,929.86365,502.62936,833.71893,518.74457,914.3995,531.9298,826.1159,533.47565,920.9099,656.28064,835.0946,659.2859,899.08636,728.1751,847.36566,734.5447
8,917.93463,237.80475,926.5576,224.07,904.31085,223.0221,927.4519,230.43141,865.4246,227.25774,940.9204,314.70786,806.80743,312.2643,949.41895,437.69943,776.0343,440.09723,915.4142,518.7433,822.4131,522.0215,907.3643,533.28064,809.43665,532.57837,934.24866,704.2388,773.22974,699.20166,951.6488,869.6854,744.29156,859.6138
9,912.73505,237.64563,921.8223,224.18614,899.7234,223.08362,924.39166,230.05655,863.58606,226.79929,939.7145,313.1501,807.42395,312.03076,948.8643,435.48984,778.88654,439.49057,913.6569,519.17523,822.69293,520.26245,908.251,531.41833,811.19934,531.197,936.2923,706.42163,773.65924,702.8733,954.4627,867.88055,743.45337,860.61475
10,908.7613,235.70819,918.28644,222.35806,895.7857,221.13556,922.5303,229.09767,861.24445,225.43657,939.6189,313.36572,806.85443,310.8025,948.627,436.84396,776.5106,438.33115,910.7522,516.67194,820.75415,519.2979,910.71356,529.5583,812.8588,528.72974,938.1326,703.8148,771.67255,700.40106,955.56464,866.3605,738.4082,860.3978
11,907.9201,232.53745,917.18555,219.80383,895.63696,218.23082,920.84717,228.38022,862.09,224.0485,938.6217,312.32996,809.12445,309.478,951.3445,435.736,778.30115,434.20746,912.48413,517.6419,823.3178,512.14453,913.09247,522.55176,817.5282,521.94257,938.36975,695.3557,775.20435,694.0447,956.0005,861.9526,740.944,857.9555
12,919.077,236.7377,928.0869,224.18623,906.7169,221.94937,929.3749,232.27052,868.8227,226.19934,942.0059,314.98196,811.4281,309.04495,955.84186,440.44247,774.85425,431.75198,911.97144,519.0444,821.8277,507.03296,913.9041,518.4244,817.8042,517.3834,936.85425,687.60834,775.3711,689.0976,955.3956,859.78937,743.1119,859.76166
